,USA,North_America,Global,Global_next_regions
1,"{'two sided': 6.022274410895894e-21, 'one sided': 1.0}","{'two sided': 2.683397487038919e-22, 'one sided': 1.0}","{'two sided': 3.202547327286609e-16, 'one sided': 0.9999999999999998}","{'two sided': 8.687686935167435e-20, 'one sided': 4.3438434675837175e-20}"
2,"{'two sided': 2.920511949654652e-17, 'one sided': 1.0}","{'two sided': 4.770110678939737e-16, 'one sided': 0.9999999999999998}","{'two sided': 2.9686630604521844e-09, 'one sided': 0.9999999985156685}","{'two sided': 9.860540062213359e-20, 'one sided': 4.9302700311066795e-20}"
3,"{'two sided': 2.123206086288898e-15, 'one sided': 0.999999999999999}","{'two sided': 4.3415924622995044e-13, 'one sided': 0.999999999999783}","{'two sided': 0.025253843108800092, 'one sided': 0.9873730784456}","{'two sided': 2.13343371599456e-17, 'one sided': 1.06671685799728e-17}"
4,"{'two sided': 6.673765653354312e-18, 'one sided': 1.0}","{'two sided': 1.5334917812503415e-07, 'one sided': 0.9999999233254109}","{'two sided': 1.8021115800894365e-07, 'one sided': 9.010557900447183e-08}","{'two sided': 3.0777751031680202e-24, 'one sided': 1.5388875515840101e-24}"
5,"{'two sided': 4.553152049075741e-15, 'one sided': 0.9999999999999978}","{'two sided': 1.8032016763011057e-06, 'one sided': 0.9999990983991618}","{'two sided': 5.756299391796542e-11, 'one sided': 2.878149695898271e-11}","{'two sided': 2.1766475009735487e-19, 'one sided': 1.0883237504867743e-19}"
6,"{'two sided': 5.0090320653424225e-12, 'one sided': 0.9999999999974954}","{'two sided': 0.015043693880333735, 'one sided': 0.9924781530598331}","{'two sided': 4.3454807285722755e-13, 'one sided': 2.1727403642861377e-13}","{'two sided': 7.890833766231456e-20, 'one sided': 3.945416883115728e-20}"
7,"{'two sided': 8.426116543767771e-14, 'one sided': 0.9999999999999578}","{'two sided': 0.0683222583595226, 'one sided': 0.9658388708202387}","{'two sided': 2.8290908147667257e-18, 'one sided': 1.4145454073833629e-18}","{'two sided': 3.947539651774224e-23, 'one sided': 1.973769825887112e-23}"
8,"{'two sided': 7.157703159908865e-10, 'one sided': 0.9999999996421148}","{'two sided': 0.7702366803829607, 'one sided': 0.6148816598085197}","{'two sided': 2.7839133909917274e-16, 'one sided': 1.3919566954958637e-16}","{'two sided': 2.3524953339862023e-20, 'one sided': 1.1762476669931012e-20}"
9,"{'two sided': 4.358059961059299e-10, 'one sided': 0.999999999782097}","{'two sided': 0.1266875693400279, 'one sided': 0.06334378467001395}","{'two sided': 5.881042626557753e-21, 'one sided': 2.9405213132788763e-21}","{'two sided': 1.0190847016504364e-23, 'one sided': 5.095423508252182e-24}"
10,"{'two sided': 5.798440708929406e-12, 'one sided': 0.9999999999971008}","{'two sided': 0.011311350287853784, 'one sided': 0.005655675143926892}","{'two sided': 4.147219920988482e-23, 'one sided': 2.073609960494241e-23}","{'two sided': 2.5691437113291327e-21, 'one sided': 1.2845718556645663e-21}"
20,"{'two sided': 0.21962053314204577, 'one sided': 0.8901897334289771}","{'two sided': 1.6395722210900338e-13, 'one sided': 8.197861105450169e-14}","{'two sided': 4.714578387405722e-31, 'one sided': 2.357289193702861e-31}","{'two sided': 2.1103275963027896e-21, 'one sided': 1.0551637981513948e-21}"
30,"{'two sided': 3.7044499079366625e-06, 'one sided': 1.8522249539683313e-06}","{'two sided': 9.44428906265886e-16, 'one sided': 4.72214453132943e-16}","{'two sided': 5.186544383755774e-41, 'one sided': 2.593272191877887e-41}","{'two sided': 2.3238047156850517e-21, 'one sided': 1.1619023578425258e-21}"
40,"{'two sided': 0.0012391470927890003, 'one sided': 0.0006195735463945002}","{'two sided': 2.3862907271327862e-21, 'one sided': 1.1931453635663931e-21}","{'two sided': 2.3336156321261962e-35, 'one sided': 1.1668078160630981e-35}","{'two sided': 8.605424835414639e-19, 'one sided': 4.3027124177073194e-19}"
50,"{'two sided': 0.08730152306453108, 'one sided': 0.04365076153226554}","{'two sided': 4.014207319243072e-13, 'one sided': 2.007103659621536e-13}","{'two sided': 2.4015707838238533e-35, 'one sided': 1.2007853919119266e-35}","{'two sided': 4.398428377446089e-06, 'one sided': 2.1992141887230445e-06}"
60,"{'two sided': 0.9549973515541601, 'one sided': 0.52250132422292}","{'two sided': 2.6027101678056753e-15, 'one sided': 1.3013550839028377e-15}","{'two sided': 7.67366389349876e-37, 'one sided': 3.83683194674938e-37}","{'two sided': 0.0025573257863367948, 'one sided': 0.9987213371068316}"
70,"{'two sided': 0.45000269868042, 'one sided': 0.22500134934021}","{'two sided': 3.5522270223275596e-15, 'one sided': 1.7761135111637798e-15}","{'two sided': 1.4679131289012186e-37, 'one sided': 7.339565644506093e-38}","{'two sided': 4.5855257611457134e-18, 'one sided': 1.0}"
80,"{'two sided': 0.2011489380151506, 'one sided': 0.1005744690075753}","{'two sided': 5.2627483605938536e-14, 'one sided': 2.6313741802969268e-14}","{'two sided': 1.487556490944349e-39, 'one sided': 7.437782454721746e-40}","{'two sided': 1.2371337309084112e-27, 'one sided': 1.0}"
90,"{'two sided': 0.010345601106162306, 'one sided': 0.005172800553081153}","{'two sided': 6.537635027642145e-14, 'one sided': 3.2688175138210726e-14}","{'two sided': 6.239411010339112e-51, 'one sided': 3.119705505169556e-51}","{'two sided': 3.912045927243922e-33, 'one sided': 1.0}"
100,"{'two sided': 2.7431424536682123e-09, 'one sided': 1.3715712268341062e-09}","{'two sided': 2.350921920322556e-16, 'one sided': 1.175460960161278e-16}","{'two sided': 1.2246229842904236e-52, 'one sided': 6.123114921452118e-53}","{'two sided': 1.774282417335419e-27, 'one sided': 1.0}"
