,USA,North_America,Global,Global_next_regions
1,3.011137205447947e-21,1.3416987435194594e-22,1.6012736636433046e-16,1.0
2,1.460255974827326e-17,2.3850553394698687e-16,1.4843315302260922e-09,1.0
3,1.061603043144449e-15,2.1707962311497522e-13,0.012626921554400046,1.0
4,3.336882826677156e-18,7.667458906251707e-08,0.999999909894421,1.0
5,2.2765760245378706e-15,9.016008381505528e-07,0.9999999999712185,1.0
6,2.5045160326712112e-12,0.0075218469401668675,0.9999999999997827,1.0
7,4.2130582718838855e-14,0.0341611291797613,1.0,1.0
8,3.5788515799544327e-10,0.38511834019148034,0.9999999999999999,1.0
9,2.1790299805296495e-10,0.936656215329986,1.0,1.0
10,2.899220354464703e-12,0.994344324856073,1.0,1.0
20,0.10981026657102289,0.999999999999918,1.0,1.0
30,0.999998147775046,0.9999999999999996,1.0,1.0
40,0.9993804264536055,1.0,1.0,1.0
50,0.9563492384677345,0.9999999999997993,1.0,0.9999978007858112
60,0.47749867577708005,0.9999999999999987,1.0,0.0012786628931683974
70,0.77499865065979,0.9999999999999982,1.0,2.2927628805728567e-18
80,0.8994255309924247,0.9999999999999737,1.0,6.185668654542056e-28
90,0.9948271994469189,0.9999999999999672,1.0,1.956022963621961e-33
100,0.9999999986284288,0.9999999999999999,1.0,8.871412086677095e-28
