,Europe,Global,Global_next_regions
1,"{'two sided': 3.0137635690557803e-18, 'one sided': 1.0}","{'two sided': 2.3648327067150168e-17, 'one sided': 1.0}","{'two sided': 3.17866840860275e-18, 'one sided': 1.0}"
2,"{'two sided': 4.99038184407971e-19, 'one sided': 1.0}","{'two sided': 1.0669019518402185e-17, 'one sided': 1.0}","{'two sided': 4.308933852466883e-19, 'one sided': 1.0}"
3,"{'two sided': 4.829686751304334e-19, 'one sided': 1.0}","{'two sided': 1.2508137496031327e-16, 'one sided': 1.0}","{'two sided': 1.1177939011316456e-18, 'one sided': 1.0}"
4,"{'two sided': 2.4582502885994882e-18, 'one sided': 1.0}","{'two sided': 2.3745998498091114e-15, 'one sided': 0.9999999999999988}","{'two sided': 3.566815261976689e-19, 'one sided': 1.0}"
5,"{'two sided': 4.0262482742799384e-19, 'one sided': 1.0}","{'two sided': 1.842401137368449e-15, 'one sided': 0.9999999999999991}","{'two sided': 1.6255644409215148e-20, 'one sided': 1.0}"
6,"{'two sided': 2.1369734632612004e-20, 'one sided': 1.0}","{'two sided': 4.8316129527761545e-15, 'one sided': 0.9999999999999976}","{'two sided': 6.667537616748625e-21, 'one sided': 1.0}"
7,"{'two sided': 5.21843986947671e-20, 'one sided': 1.0}","{'two sided': 9.013693364587769e-14, 'one sided': 0.9999999999999549}","{'two sided': 1.6912446683707414e-21, 'one sided': 1.0}"
8,"{'two sided': 2.932027008462228e-20, 'one sided': 1.0}","{'two sided': 2.3423837835629623e-11, 'one sided': 0.9999999999882881}","{'two sided': 1.0639437951720751e-23, 'one sided': 1.0}"
9,"{'two sided': 1.4071124072096486e-20, 'one sided': 1.0}","{'two sided': 6.707502296321246e-08, 'one sided': 0.9999999664624885}","{'two sided': 4.291426561061554e-25, 'one sided': 1.0}"
10,"{'two sided': 3.2918918961585116e-20, 'one sided': 1.0}","{'two sided': 7.140599660175364e-06, 'one sided': 0.9999964297001699}","{'two sided': 1.8882225453558638e-25, 'one sided': 1.0}"
20,"{'two sided': 0.04655046943418124, 'one sided': 0.9767247652829094}","{'two sided': 2.4206537639710665e-14, 'one sided': 1.2103268819855333e-14}","{'two sided': 9.645920864029857e-27, 'one sided': 1.0}"
30,"{'two sided': 6.789473211354315e-13, 'one sided': 3.3947366056771574e-13}","{'two sided': 6.475304879480846e-20, 'one sided': 3.237652439740423e-20}","{'two sided': 8.909857298478824e-27, 'one sided': 1.0}"
40,"{'two sided': 1.4025350865027797e-24, 'one sided': 7.012675432513899e-25}","{'two sided': 2.07244256107517e-23, 'one sided': 1.036221280537585e-23}","{'two sided': 6.688120456544734e-22, 'one sided': 1.0}"
50,"{'two sided': 1.043639787822845e-29, 'one sided': 5.218198939114225e-30}","{'two sided': 1.7667714465702235e-25, 'one sided': 8.833857232851117e-26}","{'two sided': 5.300542674085994e-13, 'one sided': 0.999999999999735}"
60,"{'two sided': 9.702078306675923e-31, 'one sided': 4.8510391533379616e-31}","{'two sided': 4.235381716332764e-28, 'one sided': 2.117690858166382e-28}","{'two sided': 0.00036120662255743284, 'one sided': 0.00018060331127871642}"
70,"{'two sided': 5.359765009193752e-31, 'one sided': 2.679882504596876e-31}","{'two sided': 7.38462274504617e-30, 'one sided': 3.692311372523085e-30}","{'two sided': 4.787497093120202e-20, 'one sided': 2.393748546560101e-20}"
80,"{'two sided': 4.298510042606182e-31, 'one sided': 2.149255021303091e-31}","{'two sided': 2.319808511955769e-31, 'one sided': 1.1599042559778845e-31}","{'two sided': 1.5008352713073415e-26, 'one sided': 7.504176356536708e-27}"
90,"{'two sided': 2.8129460750743754e-28, 'one sided': 1.4064730375371877e-28}","{'two sided': 1.038994396434848e-32, 'one sided': 5.19497198217424e-33}","{'two sided': 1.0065204063151457e-21, 'one sided': 5.032602031575728e-22}"
100,"{'two sided': 7.972958900235703e-28, 'one sided': 3.9864794501178517e-28}","{'two sided': 1.805359716828639e-30, 'one sided': 9.026798584143195e-31}","{'two sided': 0.8914444509102368, 'one sided': 0.5542777745448817}"
