,Asia,Global,Global_next_regions
1,"{'two sided': 0.47743634604664553, 'one sided': 0.23871817302332277}","{'two sided': 2.4623312857521266e-05, 'one sided': 1.2311656428760633e-05}","{'two sided': 0.37002300380262376, 'one sided': 0.8149884980986881}"
2,"{'two sided': 0.257758568189881, 'one sided': 0.1288792840949405}","{'two sided': 1.4326625744100158e-07, 'one sided': 7.163312872050079e-08}","{'two sided': 0.9289328354920602, 'one sided': 0.5355335822539699}"
3,"{'two sided': 0.1491633679200423, 'one sided': 0.07458168396002116}","{'two sided': 4.65011544169068e-12, 'one sided': 2.32505772084534e-12}","{'two sided': 0.30265978759205675, 'one sided': 0.8486701062039717}"
4,"{'two sided': 0.11381192171907695, 'one sided': 0.056905960859538474}","{'two sided': 4.8497059525005017e-11, 'one sided': 2.4248529762502508e-11}","{'two sided': 0.5316899885415285, 'one sided': 0.7341550057292356}"
5,"{'two sided': 0.29254986930144133, 'one sided': 0.14627493465072067}","{'two sided': 2.2316607918127862e-13, 'one sided': 1.1158303959063931e-13}","{'two sided': 0.16960898827980203, 'one sided': 0.915195505860099}"
6,"{'two sided': 0.15910843774713965, 'one sided': 0.07955421887356982}","{'two sided': 2.0366029073837627e-19, 'one sided': 1.0183014536918813e-19}","{'two sided': 0.12326669292937811, 'one sided': 0.938366653535311}"
7,"{'two sided': 0.14863284726958795, 'one sided': 0.07431642363479397}","{'two sided': 2.1903782579367834e-12, 'one sided': 1.0951891289683917e-12}","{'two sided': 0.0703865964198245, 'one sided': 0.9648067017900878}"
8,"{'two sided': 0.22384417078747848, 'one sided': 0.11192208539373924}","{'two sided': 3.02788047186689e-17, 'one sided': 1.513940235933445e-17}","{'two sided': 0.028200663579730237, 'one sided': 0.9858996682101349}"
9,"{'two sided': 0.24546791403758472, 'one sided': 0.12273395701879236}","{'two sided': 1.085008769064293e-16, 'one sided': 5.425043845321465e-17}","{'two sided': 0.03430465179034556, 'one sided': 0.9828476741048272}"
10,"{'two sided': 0.3924946099412603, 'one sided': 0.19624730497063014}","{'two sided': 1.2162277666138285e-19, 'one sided': 6.081138833069143e-20}","{'two sided': 0.007519881124607648, 'one sided': 0.9962400594376961}"
20,"{'two sided': 0.023012261309083248, 'one sided': 0.011506130654541624}","{'two sided': 7.098303747793347e-19, 'one sided': 3.5491518738966736e-19}","{'two sided': 0.00032096696556574157, 'one sided': 0.9998395165172171}"
30,"{'two sided': 0.0004370856014967242, 'one sided': 0.0002185428007483621}","{'two sided': 4.9221285433723595e-20, 'one sided': 2.4610642716861798e-20}","{'two sided': 2.4002978488894506e-06, 'one sided': 0.9999987998510755}"
40,"{'two sided': 8.421108077228293e-11, 'one sided': 4.210554038614146e-11}","{'two sided': 9.882473594310765e-27, 'one sided': 4.9412367971553824e-27}","{'two sided': 1.1582866794356737e-05, 'one sided': 0.9999942085666028}"
50,"{'two sided': 1.2243079588515304e-12, 'one sided': 6.121539794257652e-13}","{'two sided': 1.6483262271663506e-26, 'one sided': 8.241631135831753e-27}","{'two sided': 2.6392066086069766e-09, 'one sided': 0.9999999986803967}"
60,"{'two sided': 1.5837399034619448e-17, 'one sided': 7.918699517309724e-18}","{'two sided': 4.073982847518479e-25, 'one sided': 2.0369914237592396e-25}","{'two sided': 0.0012699305794899043, 'one sided': 0.9993650347102551}"
70,"{'two sided': 5.470006557143058e-18, 'one sided': 2.735003278571529e-18}","{'two sided': 2.5771731139996493e-26, 'one sided': 1.2885865569998247e-26}","{'two sided': 0.3777279113121236, 'one sided': 0.8111360443439382}"
80,"{'two sided': 1.3736130043470332e-16, 'one sided': 6.868065021735166e-17}","{'two sided': 2.6541872730494305e-25, 'one sided': 1.3270936365247153e-25}","{'two sided': 0.0006518833296261835, 'one sided': 0.00032594166481309173}"
90,"{'two sided': 2.2740962342534717e-19, 'one sided': 1.1370481171267358e-19}","{'two sided': 1.8099100071657698e-26, 'one sided': 9.049550035828849e-27}","{'two sided': 0.792127893611748, 'one sided': 0.603936053194126}"
100,"{'two sided': 2.2623088499248905e-19, 'one sided': 1.1311544249624452e-19}","{'two sided': 6.1329716887708975e-27, 'one sided': 3.0664858443854488e-27}","{'two sided': 3.9344608006246037e-19, 'one sided': 1.0}"
