,USA,North_America,Global,Global_next_regions
1,0.9977137942115862,0.5560658945896264,0.9696162977568616,1.0
2,0.9913977806646614,0.3430671348705905,0.5991679303791927,1.0
3,0.9737073792248603,0.15264199037162476,0.23251395402526648,1.0
4,0.9916736576516968,0.11901380882749919,0.04628685338450645,1.0
5,0.9753167967782369,0.024342872647907743,0.0004120276650562538,1.0
6,0.9770297644306302,0.11907475250113207,0.010132713443448002,1.0
7,0.9919569260644846,0.02618605635044797,2.5912338538118872e-05,1.0
8,0.976543138972142,0.0640044514297816,0.0009903515643427795,1.0
9,0.9831979488083525,0.011520307927626955,5.976753950402325e-07,1.0
10,0.9976394181194314,0.011614455677983762,1.2155430490036574e-07,1.0
20,0.999932681620615,0.24212403099493646,0.005787601280920471,1.0
30,0.998701221412959,0.9121372456897335,0.9999999892226152,1.0
40,3.473768985828465e-07,0.014498824291730545,0.9999999999996615,1.0
50,3.8210448266263003e-10,0.0002462595685549186,0.9999999998508895,0.9999990266481197
60,5.321012184995527e-10,1.2552733345683791e-06,0.9999999996234894,0.003769842205108237
70,3.1107287421631226e-10,3.3014009434381306e-08,0.9999999987735957,9.092393649109746e-18
80,2.12169219348416e-09,9.26227266026614e-11,0.9999999999988909,1.7967172502160594e-28
90,6.602703508078731e-10,7.460732348211432e-11,0.9999999999999999,5.311327364531729e-34
100,0.011667311885812543,6.346022791270783e-06,1.0,3.677943207077499e-29
