,Asia,Global,Global_next_regions
1,0.7612818269766772,0.9999876883435712,0.18501150190131188
2,0.8711207159050595,0.9999999283668712,0.4644664177460301
3,0.9254183160399788,0.999999999997675,0.15132989379602838
4,0.9430940391404615,0.9999999999757515,0.26584499427076425
5,0.8537250653492794,0.9999999999998884,0.08480449413990102
6,0.9204457811264302,1.0,0.06163334646468906
7,0.925683576365206,0.9999999999989049,0.03519329820991225
8,0.8880779146062607,1.0,0.014100331789865118
9,0.8772660429812076,0.9999999999999999,0.01715232589517278
10,0.8037526950293699,1.0,0.003759940562303824
20,0.9884938693454584,1.0,0.00016048348278287078
30,0.9997814571992516,1.0,1.2001489244447253e-06
40,0.9999999999578945,1.0,5.791433397178368e-06
50,0.9999999999993878,1.0,1.3196033043034883e-09
60,1.0,1.0,0.0006349652897449521
70,1.0,1.0,0.1888639556560618
80,1.0,1.0,0.999674058335187
90,1.0,1.0,0.396063946805874
100,1.0,1.0,1.9672304003123018e-19
