,Europe,Global,Global_next_regions
1,"{'two sided': 6.592385795530226e-18, 'one sided': 1.0}","{'two sided': 4.560606623688878e-18, 'one sided': 1.0}","{'two sided': 3.1503969589879683e-18, 'one sided': 1.0}"
2,"{'two sided': 3.1315800600097342e-18, 'one sided': 1.0}","{'two sided': 2.22146611910967e-18, 'one sided': 1.0}","{'two sided': 4.410191759967644e-19, 'one sided': 1.0}"
3,"{'two sided': 2.6575445561957347e-18, 'one sided': 1.0}","{'two sided': 1.8886534809551785e-18, 'one sided': 1.0}","{'two sided': 1.2567395529259026e-18, 'one sided': 1.0}"
4,"{'two sided': 9.889959923309382e-18, 'one sided': 1.0}","{'two sided': 9.587810943351575e-18, 'one sided': 1.0}","{'two sided': 3.310830074070863e-19, 'one sided': 1.0}"
5,"{'two sided': 3.3085970598079704e-18, 'one sided': 1.0}","{'two sided': 3.099816759446295e-18, 'one sided': 1.0}","{'two sided': 1.8319487997672125e-20, 'one sided': 1.0}"
6,"{'two sided': 8.249408506615488e-19, 'one sided': 1.0}","{'two sided': 4.844376260482559e-19, 'one sided': 1.0}","{'two sided': 5.306516353590222e-21, 'one sided': 1.0}"
7,"{'two sided': 1.0828212850622402e-18, 'one sided': 1.0}","{'two sided': 2.347684211740598e-19, 'one sided': 1.0}","{'two sided': 1.5467431455707766e-21, 'one sided': 1.0}"
8,"{'two sided': 4.766120294050978e-19, 'one sided': 1.0}","{'two sided': 1.3595820716170193e-19, 'one sided': 1.0}","{'two sided': 7.368982196677976e-24, 'one sided': 1.0}"
9,"{'two sided': 7.026209021498548e-20, 'one sided': 1.0}","{'two sided': 1.5045200324686318e-20, 'one sided': 1.0}","{'two sided': 2.9797583227995194e-25, 'one sided': 1.0}"
10,"{'two sided': 1.0006686730753207e-20, 'one sided': 1.0}","{'two sided': 1.2945392698543398e-21, 'one sided': 1.0}","{'two sided': 1.5048567875566355e-25, 'one sided': 1.0}"
20,"{'two sided': 1.6864276473607437e-15, 'one sided': 0.9999999999999992}","{'two sided': 9.698966871452399e-18, 'one sided': 1.0}","{'two sided': 1.1201331034099529e-26, 'one sided': 1.0}"
30,"{'two sided': 0.0034654174845858998, 'one sided': 0.9982672912577071}","{'two sided': 5.591910309611401e-07, 'one sided': 0.9999997204044845}","{'two sided': 8.861524394226308e-27, 'one sided': 1.0}"
40,"{'two sided': 2.99535553782813e-11, 'one sided': 1.497677768914065e-11}","{'two sided': 0.0004777344833575688, 'one sided': 0.0002388672416787844}","{'two sided': 2.9110722502967625e-22, 'one sided': 1.0}"
50,"{'two sided': 1.0832415401638313e-25, 'one sided': 5.416207700819156e-26}","{'two sided': 9.455514491200483e-20, 'one sided': 4.7277572456002414e-20}","{'two sided': 1.2214872073195134e-13, 'one sided': 0.9999999999999389}"
60,"{'two sided': 2.094263986139931e-33, 'one sided': 1.0471319930699655e-33}","{'two sided': 1.7996762450260708e-29, 'one sided': 8.998381225130354e-30}","{'two sided': 0.00394693978224921, 'one sided': 0.001973469891124605}"
70,"{'two sided': 3.5427715600158903e-40, 'one sided': 1.7713857800079451e-40}","{'two sided': 1.0526788440773378e-35, 'one sided': 5.263394220386689e-36}","{'two sided': 2.70177188679134e-19, 'one sided': 1.35088594339567e-19}"
80,"{'two sided': 1.4306894792548024e-42, 'one sided': 7.153447396274012e-43}","{'two sided': 3.6136345192496546e-40, 'one sided': 1.8068172596248273e-40}","{'two sided': 1.980485201349785e-26, 'one sided': 9.902426006748924e-27}"
90,"{'two sided': 6.547075052669065e-42, 'one sided': 3.2735375263345325e-42}","{'two sided': 9.660080361219657e-39, 'one sided': 4.830040180609829e-39}","{'two sided': 7.649630523509846e-21, 'one sided': 3.824815261754923e-21}"
100,"{'two sided': 6.332847503065922e-36, 'one sided': 3.166423751532961e-36}","{'two sided': 1.9926166932898e-34, 'one sided': 9.963083466449e-35}","{'two sided': 0.0807948735659467, 'one sided': 0.9596025632170266}"
