,Asia,Global,Global_next_regions
1,"{'two sided': 0.09715836346769566, 'one sided': 0.9514208182661521}","{'two sided': 0.05115837234312985, 'one sided': 0.974420813828435}","{'two sided': 0.309579511783097, 'one sided': 0.8452102441084515}"
2,"{'two sided': 0.2753005184830564, 'one sided': 0.8623497407584718}","{'two sided': 0.25247670240587555, 'one sided': 0.8737616487970622}","{'two sided': 0.9528031932584896, 'one sided': 0.5235984033707551}"
3,"{'two sided': 0.08868742001495919, 'one sided': 0.9556562899925204}","{'two sided': 0.06318442775860074, 'one sided': 0.9684077861206997}","{'two sided': 0.31666394287186284, 'one sided': 0.8416680285640685}"
4,"{'two sided': 0.08878897540989183, 'one sided': 0.9556055122950541}","{'two sided': 0.03497190883724627, 'one sided': 0.9825140455813769}","{'two sided': 0.5506989368693527, 'one sided': 0.7246505315653237}"
5,"{'two sided': 0.03985426391682192, 'one sided': 0.9800728680415891}","{'two sided': 0.03457651804233614, 'one sided': 0.982711740978832}","{'two sided': 0.18825219192051762, 'one sided': 0.9058739040397412}"
6,"{'two sided': 0.030067210269757328, 'one sided': 0.9849663948651213}","{'two sided': 0.06990865776301315, 'one sided': 0.9650456711184935}","{'two sided': 0.1355446185616748, 'one sided': 0.9322276907191627}"
7,"{'two sided': 0.014074960407770308, 'one sided': 0.9929625197961148}","{'two sided': 0.3114640782684204, 'one sided': 0.8442679608657898}","{'two sided': 0.08132978640136326, 'one sided': 0.9593351067993184}"
8,"{'two sided': 0.007229413341293962, 'one sided': 0.996385293329353}","{'two sided': 0.24390207718392237, 'one sided': 0.8780489614080388}","{'two sided': 0.03301713856785531, 'one sided': 0.9834914307160724}"
9,"{'two sided': 0.00497829899283839, 'one sided': 0.9975108505035808}","{'two sided': 0.19948390187362097, 'one sided': 0.9002580490631895}","{'two sided': 0.03775115085766035, 'one sided': 0.9811244245711699}"
10,"{'two sided': 0.0020798929601419506, 'one sided': 0.998960053519929}","{'two sided': 0.18657140548917386, 'one sided': 0.9067142972554131}","{'two sided': 0.009891197463801448, 'one sided': 0.9950544012680993}"
20,"{'two sided': 2.028263351353995e-05, 'one sided': 0.9999898586832432}","{'two sided': 0.4444525193989133, 'one sided': 0.7777737403005434}","{'two sided': 0.00048179712763730503, 'one sided': 0.9997591014361814}"
30,"{'two sided': 1.8857467131138938e-07, 'one sided': 0.9999999057126643}","{'two sided': 0.6101639056342456, 'one sided': 0.3050819528171228}","{'two sided': 5.839069785245235e-06, 'one sided': 0.9999970804651074}"
40,"{'two sided': 6.681001460972891e-08, 'one sided': 0.9999999665949927}","{'two sided': 0.0007936953307265972, 'one sided': 0.0003968476653632986}","{'two sided': 2.3379986268356282e-05, 'one sided': 0.9999883100068658}"
50,"{'two sided': 2.7449989634122192e-11, 'one sided': 0.999999999986275}","{'two sided': 2.432792620871157e-14, 'one sided': 1.2163963104355785e-14}","{'two sided': 6.8831681661761655e-09, 'one sided': 0.999999996558416}"
60,"{'two sided': 0.03437476060107894, 'one sided': 0.9828126196994605}","{'two sided': 1.7988119274301734e-15, 'one sided': 8.994059637150867e-16}","{'two sided': 0.0013144029847276806, 'one sided': 0.9993427985076362}"
70,"{'two sided': 0.0005982688472302959, 'one sided': 0.00029913442361514795}","{'two sided': 1.2872626833142283e-21, 'one sided': 6.436313416571141e-22}","{'two sided': 0.191241140652994, 'one sided': 0.9043794296735029}"
80,"{'two sided': 1.0529936874293379e-15, 'one sided': 5.264968437146689e-16}","{'two sided': 5.812833781216895e-27, 'one sided': 2.9064168906084475e-27}","{'two sided': 0.005749463272104685, 'one sided': 0.0028747316360523425}"
90,"{'two sided': 1.322408216348988e-18, 'one sided': 6.61204108174494e-19}","{'two sided': 3.775352614632067e-32, 'one sided': 1.8876763073160335e-32}","{'two sided': 0.13964218186260233, 'one sided': 0.9301789090686988}"
100,"{'two sided': 8.674335068918903e-31, 'one sided': 4.337167534459451e-31}","{'two sided': 1.0304905666744302e-36, 'one sided': 5.152452833372151e-37}","{'two sided': 2.7241287566620606e-23, 'one sided': 1.0}"
