,Europe,Global,Global_next_regions
1,1.5068817845278901e-18,1.1824163533575084e-17,1.589334204301375e-18
2,2.495190922039855e-19,5.3345097592010924e-18,2.1544669262334416e-19
3,2.414843375652167e-19,6.254068748015664e-17,5.588969505658228e-19
4,1.2291251442997441e-18,1.1872999249045557e-15,1.7834076309883445e-19
5,2.0131241371399692e-19,9.212005686842245e-16,8.127822204607574e-21
6,1.0684867316306002e-20,2.4158064763880772e-15,3.3337688083743124e-21
7,2.609219934738355e-20,4.5068466822938847e-14,8.456223341853707e-22
8,1.466013504231114e-20,1.1711918917814811e-11,5.3197189758603754e-24
9,7.035562036048243e-21,3.353751148160623e-08,2.145713280530777e-25
10,1.6459459480792558e-20,3.570299830087682e-06,9.441112726779319e-26
20,0.02327523471709062,0.9999999999999879,4.8229604320149285e-27
30,0.9999999999996605,1.0,4.454928649239412e-27
40,1.0,1.0,3.344060228272367e-22
50,1.0,1.0,2.650271337042997e-13
60,1.0,1.0,0.9998193966887212
70,1.0,1.0,1.0
80,1.0,1.0,1.0
90,1.0,1.0,1.0
100,1.0,1.0,0.4457222254551184
